Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,80.148,-95.1484,180.0,top
C10,100nF,C_0402_1005Metric,75.808,-51.886,90.0,top
C11,100nF,C_0402_1005Metric,99.838,-51.742,90.0,top
C12,100nF,C_0402_1005Metric,75.708,-61.886,180.0,top
C13,100nF,C_0402_1005Metric,99.408,-61.786,180.0,top
C16,1uF,C_0603_1608Metric,73.598,-71.086,180.0,top
C17,1uF,C_0603_1608Metric,87.198,-82.486,0.0,top
C18,100nF,C_0402_1005Metric,83.908,-82.986,90.0,top
C19,100nF,C_0402_1005Metric,74.608,-82.986,90.0,top
C2,4.7uF,C_0805_2012Metric,80.148,-96.8484,180.0,top
C20,100nF,C_0402_1005Metric,83.808,-69.586,-90.0,top
C21,100nF,C_0402_1005Metric,74.608,-69.286,-90.0,top
C22,100nF,C_0402_1005Metric,102.208,-82.786,180.0,top
C23,100nF,C_0402_1005Metric,128.008,-82.786,180.0,top
C24,100nF,C_0402_1005Metric,142.208,-67.086,90.0,top
C3,4.7uF,C_0805_2012Metric,67.948,-97.0484,0.0,top
C4,100nF,C_0402_1005Metric,75.648,-95.1484,180.0,top
C40,20nF,C_0402_1005Metric,91.008,-99.886,90.0,top
C47,1uF,C_0603_1608Metric,149.208,-104.961,90.0,top
C5,4.7uF,C_0805_2012Metric,75.592,-96.8581,0.0,top
C6,100nF,C_0402_1005Metric,64.3655,-51.914236,90.0,top
C7,100nF,C_0402_1005Metric,88.1655,-51.928501,90.0,top
C8,100nF,C_0402_1005Metric,63.808,-61.786,180.0,top
C9,100nF,C_0402_1005Metric,87.608,-61.786,180.0,top
R1,100k 0.1%,R_0402_1005Metric,156.283,-62.092,-90.0,top
R10,100k 0.1%,R_0402_1005Metric,150.983,-60.492,180.0,top
R101,20k,R_0402_1005Metric,154.208,-109.886,180.0,top
R11,100k 0.1%,R_0402_1005Metric,150.983,-59.392,180.0,top
R12,100k 0.1%,R_0402_1005Metric,150.183,-62.092,-90.0,top
R13,100k 0.1%,R_0402_1005Metric,148.983,-60.492,180.0,top
R14,100k 0.1%,R_0402_1005Metric,148.983,-59.392,180.0,top
R15,100k 0.1%,R_0402_1005Metric,148.883,-62.092,-90.0,top
R16,100k 0.1%,R_0402_1005Metric,148.983,-58.292,0.0,top
R17,100k 0.1%,R_0402_1005Metric,146.683,-62.092,-90.0,top
R18,100k 0.1%,R_0402_1005Metric,146.183,-60.492,180.0,top
R19,100k 0.1%,R_0402_1005Metric,146.183,-59.392,180.0,top
R2,100k 0.1%,R_0402_1005Metric,155.683,-60.482,180.0,top
R20,100k 0.1%,R_0402_1005Metric,145.383,-62.092,-90.0,top
R21,100k 0.1%,R_0402_1005Metric,144.083,-60.492,180.0,top
R22,100k 0.1%,R_0402_1005Metric,144.083,-59.392,180.0,top
R23,100k 0.1%,R_0402_1005Metric,144.183,-62.092,-90.0,top
R24,100k 0.1%,R_0402_1005Metric,144.083,-58.292,0.0,top
R25,100k 0.1%,R_0402_1005Metric,95.164,-78.436,-90.0,top
R26,100k 0.1%,R_0402_1005Metric,94.064,-78.436,-90.0,top
R27,100k 0.1%,R_0402_1005Metric,96.864,-79.036,0.0,top
R28,100k 0.1%,R_0402_1005Metric,95.164,-80.536,-90.0,top
R29,100k 0.1%,R_0402_1005Metric,94.064,-80.536,-90.0,top
R3,100k 0.1%,R_0402_1005Metric,155.683,-59.392,180.0,top
R30,100k 0.1%,R_0402_1005Metric,96.864,-81.136,0.0,top
R31,100k 0.1%,R_0402_1005Metric,95.164,-82.636,-90.0,top
R32,100k 0.1%,R_0402_1005Metric,94.064,-82.636,-90.0,top
R33,100k 0.1%,R_0402_1005Metric,96.864,-83.136,0.0,top
R34,100k 0.1%,R_0402_1005Metric,92.964,-82.636,90.0,top
R35,100k 0.1%,R_0402_1005Metric,121.064,-78.411,-90.0,top
R36,100k 0.1%,R_0402_1005Metric,119.864,-78.411,-90.0,top
R37,100k 0.1%,R_0402_1005Metric,122.564,-79.011,0.0,top
R38,100k 0.1%,R_0402_1005Metric,120.964,-80.511,-90.0,top
R39,100k 0.1%,R_0402_1005Metric,119.864,-80.511,-90.0,top
R4,100k 0.1%,R_0402_1005Metric,155.083,-62.092,-90.0,top
R40,100k 0.1%,R_0402_1005Metric,122.564,-81.011,0.0,top
R41,100k 0.1%,R_0402_1005Metric,120.964,-82.511,-90.0,top
R42,100k 0.1%,R_0402_1005Metric,119.864,-82.511,-90.0,top
R43,100k 0.1%,R_0402_1005Metric,122.564,-83.011,0.0,top
R44,100k 0.1%,R_0402_1005Metric,118.764,-82.511,90.0,top
R45,100k,R_0402_1005Metric,61.3555,-54.544236,180.0,top
R46,100k,R_0402_1005Metric,61.3555,-55.594236,180.0,top
R47,100k,R_0402_1005Metric,61.3555,-56.694236,180.0,top
R48,100k,R_0402_1005Metric,61.3555,-57.794236,180.0,top
R49,100k,R_0402_1005Metric,61.3555,-58.894236,180.0,top
R5,100k 0.1%,R_0402_1005Metric,153.683,-60.492,180.0,top
R50,100k,R_0402_1005Metric,61.3555,-59.994236,180.0,top
R51,100k,R_0402_1005Metric,85.0655,-54.528501,180.0,top
R52,100k,R_0402_1005Metric,85.0655,-55.628501,180.0,top
R53,100k,R_0402_1005Metric,85.0655,-56.728501,180.0,top
R54,100k,R_0402_1005Metric,85.0655,-57.828501,180.0,top
R55,100k,R_0402_1005Metric,85.0655,-58.928501,180.0,top
R56,100k,R_0402_1005Metric,85.0655,-60.028501,180.0,top
R57,0,R_0402_1005Metric,127.808,-87.286,-90.0,top
R59,100k,R_0402_1005Metric,73.283,-54.286,180.0,top
R6,100k 0.1%,R_0402_1005Metric,153.683,-59.392,180.0,top
R60,100k,R_0402_1005Metric,73.303,-55.386,180.0,top
R61,75R,R_0402_1005Metric,74.098,-77.686,180.0,top
R62,75R,R_0402_1005Metric,73.498,-79.386,-90.0,top
R63,10K,R_0402_1005Metric,85.698,-80.286,180.0,top
R64,10K,R_0402_1005Metric,83.898,-79.786,90.0,top
R65,10K,R_0402_1005Metric,74.598,-79.386,90.0,top
R66,75R,R_0402_1005Metric,73.598,-86.786,-90.0,top
R67,75R,R_0402_1005Metric,84.198,-86.086,90.0,top
R68,10K,R_0402_1005Metric,74.698,-85.786,-90.0,top
R69,10K,R_0402_1005Metric,85.698,-84.586,180.0,top
R7,100k 0.1%,R_0402_1005Metric,153.783,-62.092,-90.0,top
R70,10K,R_0402_1005Metric,85.298,-86.086,-90.0,top
R71,75R,R_0402_1005Metric,85.098,-65.586,90.0,top
R72,75R,R_0402_1005Metric,84.898,-73.986,-90.0,top
R73,75R,R_0402_1005Metric,74.098,-64.886,180.0,top
R74,10K,R_0402_1005Metric,85.098,-67.696,90.0,top
R75,10K,R_0402_1005Metric,73.398,-66.586,-90.0,top
R76,10K,R_0402_1005Metric,85.298,-72.186,180.0,top
R77,4K7,R_0402_1005Metric,83.798,-66.586,90.0,top
R78,4K7,R_0402_1005Metric,74.598,-66.586,90.0,top
R79,4K7,R_0402_1005Metric,83.698,-72.886,-90.0,top
R8,100k 0.1%,R_0402_1005Metric,153.683,-58.292,0.0,top
R80,75R,R_0402_1005Metric,77.198,-75.286,0.0,top
R81,10K,R_0402_1005Metric,73.398,-73.066,90.0,top
R82,4K7,R_0402_1005Metric,74.598,-73.086,-90.0,top
R83,100k,R_0402_1005Metric,73.303,-56.486,180.0,top
R84,100k,R_0402_1005Metric,73.303,-57.586,180.0,top
R85,100k,R_0402_1005Metric,73.303,-58.686,180.0,top
R86,100k,R_0402_1005Metric,73.303,-59.786,180.0,top
R87,100k,R_0402_1005Metric,96.898,-54.386,180.0,top
R88,100k,R_0402_1005Metric,96.898,-55.486,180.0,top
R89,100k,R_0402_1005Metric,96.898,-56.586,180.0,top
R9,100k 0.1%,R_0402_1005Metric,151.483,-62.092,-90.0,top
R90,100k,R_0402_1005Metric,96.898,-57.686,180.0,top
R91,100k,R_0402_1005Metric,96.898,-58.786,180.0,top
R92,100k,R_0402_1005Metric,96.898,-59.886,180.0,top
R97,475R,R_0402_1005Metric,98.708,-97.186,-90.0,top
R98,475R,R_0402_1005Metric,91.008,-97.186,-90.0,top
R99,20k,R_0402_1005Metric,149.508,-107.761,90.0,top
U10,TXB0106PWR,SOP65P640X120-16N,101.488,-57.186,90.0,top
U12,LM4871MX_NOPB,SOIC127P599X175-8N,154.292,-106.361,0.0,top
U13,TL084HIDR,SOIC-14_3.9x8.7mm_P1.27mm,79.198,-82.486,180.0,top
U14,TL084HIDR,SOIC-14_3.9x8.7mm_P1.27mm,79.173,-69.716,180.0,top
U4,TXB0106PWR,SOP65P640X120-16N,65.9655,-57.214236,90.0,top
U5,TXB0106PWR,SOP65P640X120-16N,89.7655,-57.228501,90.0,top
U6,TXB0106PWR,SOP65P640X120-16N,77.808,-57.256,90.0,top
VR1,VREF,TRIM_3362P-1-203LF,67.9425,-69.986,0.0,top
VR2,X_SIZE,TRIM_3362P-1-203LF,67.9425,-78.486,0.0,top
VR3,Y_SIZE,TRIM_3362P-1-203LF,67.9425,-86.886,0.0,top
